ep,env,kills_rule,kills_br,winner,exposure_rule,exposure_br,mean_trace_P_rule,mean_trace_P_br
24,5,1,1,-1,4.487409,2.561376,0.04323366,0.7868559
24,6,1,1,-1,4.487409,2.5614977,0.043318488,0.7868559
24,7,1,1,-1,4.47069,2.6507144,0.0,0.0
25,0,1,1,-1,4.487409,2.5617976,0.043347012,0.7868559
25,1,1,1,0,4.487409,2.4353204,0.0,5.6331086
25,2,1,1,-1,4.487409,2.5619233,0.043364726,0.7868559
25,3,1,1,-1,4.487409,2.5618303,0.04327558,0.7868559
25,4,2,1,0,4.4647183,2.6475816,0.0,0.0
25,5,1,1,-1,4.487409,2.561553,0.043218713,0.7868559
25,6,1,1,-1,4.487409,2.5614836,0.04321105,0.7868559
25,7,1,1,-1,4.487409,2.5614738,0.0431105,0.7868559
26,0,1,1,-1,4.487409,2.5616846,0.043287817,0.7868559
26,1,1,1,-1,4.487409,2.5617085,0.04336835,0.7868559
26,2,2,1,0,4.4647183,2.60152,0.0,0.0
26,3,2,1,0,4.4647183,2.609906,0.0,0.0
26,4,1,1,-1,4.502935,2.5936415,0.0,0.0
26,5,1,1,-1,4.487409,2.561725,0.04314346,0.7868559
26,6,2,1,0,4.4647183,2.606463,0.0,0.0
26,7,1,1,-1,4.487409,2.5615382,0.04304299,0.7868559
27,0,2,1,0,4.4647164,2.5935793,0.0,0.0
27,1,1,1,0,4.4897976,2.406438,0.0,5.8819447
27,2,1,1,-1,4.487409,2.561757,0.04336892,0.7868559
27,3,1,1,-1,4.487409,2.561269,0.04326465,0.7868559
27,4,1,1,0,4.487409,2.4071145,0.0,6.3876967
27,5,1,1,-1,4.487409,2.5618582,0.0434215,0.7868559
27,6,1,1,-1,4.487409,2.5617654,0.0432833,0.7868559
27,7,1,1,1,4.487409,2.5616913,0.039954197,0.0
28,0,1,1,-1,4.487409,2.5615964,0.043354426,0.7868559
28,1,1,1,0,4.5005465,2.3948328,0.0,5.9664607
28,2,1,1,-1,4.487409,2.5617812,0.043343976,0.7868559
28,3,1,1,-1,4.487409,2.5615659,0.043420654,0.7868559
28,4,1,1,-1,4.487409,2.561753,0.043459713,0.7868559
28,5,1,1,-1,4.487409,2.5615695,0.043414675,0.7868559
28,6,1,1,-1,4.487409,2.5616422,0.04316438,0.7868559
28,7,1,1,-1,4.487409,2.5618684,0.043267015,0.7868559
29,0,1,1,-1,4.487409,2.5615065,0.04331081,0.7868559
29,1,1,1,0,4.487409,2.402311,0.0,5.7394075
29,2,1,1,-1,4.487409,2.561313,0.04314012,0.7868559
29,3,2,1,0,4.4647183,2.6261263,0.0,0.0
29,4,1,1,-1,4.487409,2.561685,0.043182008,0.7868559
29,5,1,1,-1,4.487409,2.561637,0.04320632,0.7868559
29,6,1,1,-1,4.487409,2.5615628,0.043189093,0.7868559
29,7,1,1,-1,4.487409,2.5618289,0.043383006,0.7868559
